PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1222,1,2,2,48,0,2,36.75,3
1223,0,1,1,39,0,0,29.70,2
1224,0,3,1,33,0,0,7.23,2
1225,1,3,2,19,1,1,15.74,2
1226,0,3,1,27,0,0,7.90,3
1227,0,1,1,30,0,0,26.00,3
1228,0,2,1,32,0,0,13.00,3
1229,0,3,1,39,0,2,7.23,2
1230,0,2,1,25,0,0,31.50,3
1231,0,3,1,71,0,0,7.23,2
1232,0,2,1,18,0,0,10.50,3
1233,0,3,1,32,0,0,7.58,3
1234,0,3,1,56,1,9,69.55,3
1235,1,1,2,58,0,1,512.33,2
1236,0,3,1,34,1,1,14.50,3
1237,1,3,2,16,0,0,7.65,3
1238,0,2,1,26,0,0,13.00,3
1239,1,3,2,38,0,0,7.23,2
1240,0,2,1,24,0,0,13.50,3
1241,1,2,2,31,0,0,21.00,3
1242,1,1,2,45,0,1,63.36,2
1243,0,2,1,25,0,0,10.50,3
1244,0,2,1,18,0,0,73.50,3
1245,0,2,1,49,1,2,65.00,3
1246,1,3,2,1,1,2,20.58,3
1247,0,1,1,50,0,0,26.00,3
1248,1,1,2,59,2,0,51.48,3
1249,0,3,1,45,0,0,7.88,3
1250,0,3,1,43,0,0,7.75,1
1251,1,3,2,30,1,0,15.55,3
1252,0,3,1,15,8,2,69.55,3
1253,1,2,2,24,1,1,37.00,2
1254,1,2,2,31,0,0,21.00,3
1255,0,3,1,27,0,0,8.66,3
1256,1,1,2,25,1,0,55.44,2
1257,1,3,2,13,1,9,69.55,3
1258,0,3,1,1,1,0,14.46,2
1259,1,3,2,22,0,0,39.69,3
1260,1,1,2,45,0,1,59.40,2
1261,0,2,1,29,0,0,13.86,2
1262,0,2,1,21,1,0,11.50,3
1263,1,1,2,31,0,0,134.50,2
1264,0,1,1,49,0,0,0.00,3
1265,0,2,1,44,0,0,13.00,3
1266,1,1,2,54,1,1,81.86,3
1267,1,1,2,45,0,0,262.38,2
1268,1,3,2,22,2,0,8.66,3
1269,0,2,1,21,0,0,11.50,3
1270,0,1,1,55,0,0,50.00,3
1271,0,3,1,5,4,2,31.39,3
1272,0,3,1,23,0,0,7.75,1
1273,0,3,1,26,0,0,7.88,1
1274,1,3,2,17,0,0,14.50,3
1275,1,3,2,19,1,0,16.10,3
1276,0,2,1,18,0,0,12.88,3
1277,1,2,2,24,1,2,65.00,3
1278,0,3,1,24,0,0,7.78,3
1279,0,2,1,57,0,0,13.00,3
1280,0,3,1,21,0,0,7.75,1
1281,0,3,1,6,3,1,21.08,3
1282,0,1,1,23,0,0,93.50,3
1283,1,1,2,51,0,1,39.40,3
1284,0,3,1,13,0,2,20.25,3
1285,0,2,1,47,0,0,10.50,3
1286,0,3,1,29,3,1,22.03,3
1287,1,1,2,18,1,0,60.00,3
1288,0,3,1,24,0,0,7.25,1
1289,1,1,2,48,1,1,79.20,2
1290,0,3,1,22,0,0,7.78,3
1291,0,3,1,31,0,0,7.73,1
1292,1,1,2,30,0,0,164.87,3
1293,0,2,1,38,1,0,21.00,3
1294,1,1,2,22,0,1,59.40,2
1295,0,1,1,17,0,0,47.10,3
1296,0,1,1,43,1,0,27.72,2
1297,0,2,1,20,0,0,13.86,2
1298,0,2,1,23,1,0,10.50,3
1299,0,1,1,50,1,1,211.50,2
1300,1,3,2,15,0,0,7.72,1
1301,1,3,2,3,1,1,13.78,3
1302,1,3,2,4,0,0,7.75,1
1303,1,1,2,37,1,0,90.00,1
1304,1,3,2,28,0,0,7.78,3
1305,0,3,1,56,0,0,8.05,3
1306,1,1,2,39,0,0,108.90,2
1307,0,3,1,38,0,0,7.25,3
1308,0,3,1,34,0,0,8.05,3
1309,0,3,1,23,1,1,22.36,2
